year,real,unweighted,permuted_mean,permuted_lo,permuted_hi,dirichlet_mean,dirichlet_lo,dirichlet_hi
2000,0.04794074329914286,0.05106380061372781,0.02115098185050713,-0.02665766053701397,0.0650489653517124,0.040748299662351745,0.017327045195218372,0.061387007231226434
2002,0.07031499443730577,0.05978453513605814,0.0683701178301575,-0.04875768360110006,0.1848651225955839,0.06586615833297053,0.0015759491223703668,0.12074993586716835
2004,0.060171623761653914,0.05507718159042033,0.030391196921765163,-0.055675894746178865,0.1330642686474144,0.04601938021760535,-0.010183978593528443,0.0876440599362408
2006,0.07730204485408969,0.0742611390393762,0.04829755561670424,0.017368932741095893,0.09285607017123983,0.06894051464877018,0.046792089529280365,0.08921357170261308
2008,0.007374247380605742,0.015667648354341396,0.017499230072482663,-0.0025777279237527225,0.03650086042527562,0.012458288127434223,0.0004508783641854662,0.024661464624472565
2010,0.0005415465533807062,0.0015860891683112666,0.025241076380615787,8.37431448383304e-05,0.0724706554927744,0.015977487888094385,0.0011094248383976951,0.04157287081205874
2012,0.06461522627906653,0.06890800563233385,0.06021251634839872,0.02692912411777658,0.12033976385048367,0.0670967194800024,0.051121077775219716,0.0822201381611528
2014,0.05509308896882985,0.06007462900297353,0.01822649416212427,-0.01018879045620474,0.04459787485720072,0.039236097587838914,0.02583306058112648,0.05334380100351415
2016,0.06807992838890958,0.058216548583235744,0.03520208496415295,-0.11465061418345648,0.14141054935647837,0.04417453645508428,0.005111032539274616,0.07460115486546111
2018,0.06773010270013469,0.039581597806727126,-0.004156081662265407,-0.11646832794896655,0.0777422254834773,0.024026516335837078,-0.00525542301322916,0.04650169218395238
2020,0.03335915057192557,0.061226130217239716,0.07122935390885943,-0.1132899522004594,0.216924851782215,0.06867728855644195,0.032905336312299326,0.11032788205023122
2022,0.013076895706417402,0.013467968030878297,0.0026666085187832143,-0.16225884157780504,0.1484211717580027,0.0160343266857357,-0.023577154290986824,0.059449670908326244
