year,bin_center,real,unweighted,permuted_mean,permuted_lo,permuted_hi,dirichlet_mean,dirichlet_lo,dirichlet_hi
2000,-0.99,0.1877047115142353,0.0062988158226253,0.0302124800537498,0.0041509196271101,0.1133975812547239,0.0213412278491643,0.0036470143613,0.0870937263794406
2000,-0.97,0.0095742000503905,0.0173847316704459,0.0431536071218611,0.0016313932980599,0.0946271101033005,0.0424439405391786,0.001763668430335,0.093020912068531
2000,-0.95,0.0055429579239103,0.056185437137818,0.0362005542957923,0.00263920382968,0.0707042076089694,0.0368925841941715,0.0027714789619551,0.06797052154195
2000,-0.93,0.0057949105568153,0.0352733686067019,0.0269942050894431,0.0041383219954648,0.053344671201814,0.0293633996808599,0.0056626354245401,0.0553224993701184
2000,-0.91,0.0022675736961451,0.037792894935752,0.0205433778449651,0.0045099521289997,0.0473104056437389,0.0212673217435122,0.005530360292265,0.0436130007558578
2000,-0.89,0.0032753842277651,0.018644494834971,0.0158024691358024,0.003898966994205,0.0350466112370874,0.0162820189804316,0.0045351473922902,0.038044847568657
2000,-0.87,0.0040312421264802,0.0138573948097757,0.0126547409087091,0.003898966994205,0.0306185437137818,0.0125506004871084,0.003395061728395,0.0330435878054925
2000,-0.85,0.0027714789619551,0.0080624842529604,0.0105702527924749,0.003395061728395,0.0283635676492819,0.0102284370538338,0.002891156462585,0.0278470647518266
2000,-0.8300000000000001,0.0027714789619551,0.0047871000251952,0.0084765264130343,0.0027714789619551,0.0221718316956412,0.008108675568993,0.002387251196775,0.0215482489292013
2000,-0.81,0.001259763164525,0.0075585789871504,0.0075081884605694,0.002891156462585,0.0216805240614764,0.0068102796674225,0.0022675736961451,0.016761148904006
2000,-0.79,0.00050390526581,0.0035273368606701,0.006702779877383,0.0025195263290501,0.0166414714033761,0.0057545981355505,0.0020156210632401,0.015129755605946
2000,-0.77,0.0030234315948601,0.001763668430335,0.0059486016628873,0.002387251196775,0.014877802973041,0.0050499706055261,0.0020156210632401,0.0121063240110859
2000,-0.75,0.001259763164525,0.0035273368606701,0.0055530360292265,0.0022675736961451,0.0128747795414461,0.004644326866549,0.001763668430335,0.0116024187452758
2000,-0.73,0.0025195263290501,0.0035273368606701,0.0050331737633325,0.0018833459309649,0.0113504661123708,0.0044049718652893,0.001763668430335,0.0097064751826656
2000,-0.71,0.00151171579743,0.0020156210632401,0.0047602250776853,0.001763668430335,0.0107142857142857,0.0040186444948349,0.00151171579743,0.0084467120181405
2000,-0.69,0.001763668430335,0.00151171579743,0.0044142101284958,0.0020156210632401,0.0095867976820357,0.0039396993365247,0.00151171579743,0.0076908541194255
2000,-0.6699999999999999,0.001763668430335,0.0027714789619551,0.0044217687074829,0.0020156210632401,0.0095742000503905,0.003652473335013,0.001259763164525,0.0073066263542454
2000,-0.6499999999999999,0.0027714789619551,0.0040312421264802,0.0042705971277399,0.0020156210632401,0.0092025699168556,0.0034332745443856,0.001259763164525,0.0061791383219954
2000,-0.63,0.0035273368606701,0.0022675736961451,0.0041286638112034,0.001763668430335,0.0103300579491055,0.0034080792810951,0.00151171579743,0.0069475938523557
2000,-0.61,0.001763668430335,0.0027714789619551,0.0039615352313765,0.00151171579743,0.0075711766187956,0.0032501889644746,0.001259763164525,0.0065633660871755
2000,-0.5900000000000001,0.0025195263290501,0.0022675736961451,0.0041110271269001,0.0020156210632401,0.0083270345175106,0.0033408919123204,0.00151171579743,0.0057949105568153
2000,-0.5700000000000001,0.001259763164525,0.001259763164525,0.0038103636516334,0.001763668430335,0.0068027210884353,0.0031149743848156,0.00151171579743,0.0054232804232804
2000,-0.55,0.0025195263290501,0.00151171579743,0.0038867892836146,0.001763668430335,0.0076908541194255,0.0030729822793314,0.00151171579743,0.0052910052910052
2000,-0.53,0.001763668430335,0.0022675736961451,0.0038851095993953,0.001763668430335,0.0073066263542454,0.0031401696481061,0.00151171579743,0.0054232804232804
2000,-0.51,0.0030234315948601,0.0037792894935752,0.0037524145460653,0.0020156210632401,0.0061791383219954,0.0030326698580666,0.00151171579743,0.0052910052910052
2000,-0.49,0.0022675736961451,0.00151171579743,0.0039657344419249,0.0020156210632401,0.0066830435878054,0.0031376501217771,0.00151171579743,0.0052910052910052
2000,-0.47,0.001763668430335,0.0045351473922902,0.0040312421264802,0.0020156210632401,0.0068027210884353,0.0032283530696229,0.001763668430335,0.0050390526581002
2000,-0.4499999999999999,0.001259763164525,0.0020156210632401,0.0038691525993113,0.0020156210632401,0.0064310909549004,0.0031880406483581,0.00151171579743,0.0050390526581002
2000,-0.43,0.00100781053162,0.0022675736961451,0.0040547577055513,0.0020156210632401,0.0065507684555303,0.0032384311749391,0.001763668430335,0.0052910052910052
2000,-0.41,0.001763668430335,0.0020156210632401,0.0041513395481649,0.0020156210632401,0.0079428067523305,0.0032644662803393,0.001763668430335,0.0055429579239103
2000,-0.39,0.0032753842277651,0.0025195263290501,0.0042328042328042,0.0020156210632401,0.0076908541194255,0.0033744855967078,0.00151171579743,0.0054232804232804
2000,-0.37,0.0020156210632401,0.0027714789619551,0.0042638783908625,0.0022675736961451,0.0066830435878054,0.0034559502813471,0.0018833459309649,0.0055429579239103
2000,-0.35,0.0030234315948601,0.0042831947593852,0.0044184093390442,0.0022675736961451,0.0078105316200554,0.003602082808432,0.001763668430335,0.0057949105568153
