year,real,unweighted,permuted_mean,permuted_lo,permuted_hi,dirichlet_mean,dirichlet_lo,dirichlet_hi
2000,0.2286907262247817,0.058007123095312085,0.03654839859897808,-0.4046329541776814,0.29538342540342155,0.05311547062837718,0.009903407781141516,0.1012693791605486
2002,0.16067335001284977,0.05322574516710321,0.02167223555552304,-0.35587988430715606,0.24434098714751673,0.034724318280711514,-0.0630889066720658,0.14068671651614895
2004,-0.09185127253793068,-0.06685797035813734,-0.06436319101347827,-0.3316813100926984,0.14082075751624282,-0.05619862032483809,-0.11023041703704263,-0.007354226131087069
2006,0.09118785159778009,-0.006800881082113963,-0.021501963153915372,-0.36877100754703085,0.1218687217975869,0.0014744696629185765,-0.04959455886529942,0.05366819305333027
2008,-0.17686578113823614,0.062325232501993955,0.020301555471267517,-0.26322322562999273,0.1875752596450934,0.050153637531259926,-0.001404826631000935,0.0968182459382945
2010,0.04746615260374587,0.027749905684020026,6.90743523469517e-05,-0.1656786382002804,0.13392965738093032,0.01654230185502813,-0.06656072187839071,0.0706578684303821
2012,-0.11428007966975906,0.05565800558533085,0.026798012328110007,-0.2758707657713287,0.24491210251583062,0.03991453217741287,-0.01778890698359976,0.09028664764467507
2014,0.05817806281428717,-0.01326276665185111,-0.027592255563174864,-0.24860020572829541,0.16272243232731423,-0.024698490385672234,-0.07342272146591272,0.02614845167869715
2016,0.12718112542254734,0.06358962591566719,0.03409633285612782,-0.20960622571392387,0.24314446023840264,0.05052715852591939,-0.020964090054257062,0.11659686204175096
2018,0.12612927798675788,-0.004100104319526232,0.0018667129929487807,-0.11345743532763161,0.14542627075700418,-0.0009034252937922286,-0.04863572752897293,0.05479231381845883
2020,0.09413639908485943,0.11152243085320024,0.08437151642482937,-0.14637493027634155,0.26270489748501147,0.1038906076744778,0.006135648793294007,0.18528723509301495
2022,0.0517591085125052,0.0346593154211543,0.02075385544716419,-0.221149059024629,0.24486489839198713,0.05566234642003817,-0.011632389102769413,0.1403353851199384
